id,title,url,views,genre
0,"The Chasm | Think Like A Coder, Ep 6",https://www.youtube.com/watch?v=bbM-zSkjvHo,120385,Learning
1,Everything changed when the fire crystal got stolen - Alex Gendler,https://www.youtube.com/watch?v=OGHB8zUtfp4,276817,Learning
2,"The life, legacy & assassination of an African revolutionary - Lisa Janae Bacon",https://www.youtube.com/watch?v=H_iF-E5UEOg,130823,Learning
3,Do politics make us irrational? - Jay Van Bavel,https://www.youtube.com/watch?v=8yOoOL9PC-o,187741,Learning
4,Licking bees and pulping trees: The reign of a wasp queen - Kenny Coogan,https://www.youtube.com/watch?v=q93IfqUbEf4,475969,Learning
5,How bones make blood - Melody Smith,https://www.youtube.com/watch?v=1Qfmkd6C8u8,264104,Learning
6,Why is cotton in everything? - Michael R. Stiff,https://www.youtube.com/watch?v=tKLJ6KQAcjI,583390,Learning
7,What's so special about Viking ships? - Jan Bill,https://www.youtube.com/watch?v=kge0c2mNmRQ,307993,Learning
8,"The Artists  Think Like A Coder, Ep 5",https://www.youtube.com/watch?v=7mOev8v3D1U,114762,Learning
9,"Mating frenzies, sperm hoards, and brood raids: the life of a fire ant queen - Walter R. Tschinkel",https://www.youtube.com/watch?v=RNdouBNrnM0,816837,Learning
10,The mysterious life and death of Rasputin - Eden Girma,https://www.youtube.com/watch?v=4dEf1ep3O9I,570006,Learning
11,Two and a Half Men- jake praying for math test,https://www.youtube.com/watch?v=r_JxeDrSoWw,477857,Videos
12,Best of Senor Ben Chang (Community - Season 1),https://www.youtube.com/watch?v=SQ0iSqaHgUA,142076,Videos
13,"Garmi Song | Street Dancer 3D | Varun D, Nora F, Shraddha K, Badshah, Neha K | Remo D | T-Series",https://www.youtube.com/watch?v=q_0uF80IZXM,198958798,Videos
14,REZZ x Yultron - Hell on Earth,https://www.youtube.com/watch?v=Yr-6qxQcHjY,700612,Videos
15,REZZ - Beyond the Senses (Full EP Visualizer),https://www.youtube.com/watch?v=llg5SUwNmJM,287565,Videos
16,"REZZ - ""Beyond The Senses"" LIVE world premiere listening party",https://www.youtube.com/watch?v=SSSvG0j40vM,44574,Videos
17,REZZ - Lonely (feat. The Rigs),https://www.youtube.com/watch?v=S6_sv3WaWKQ,156154,Videos
18,REZZ x Sayer - Your Soul Will Never Be Released,https://www.youtube.com/watch?v=YHdruTNzsao,120596,Videos
19,REZZ x EDDIE - Stress,https://www.youtube.com/watch?v=sI3QwWiR22k,178309,Videos
20,REZZ x Deathpact - Kiss of Death,https://www.youtube.com/watch?v=uN0sds3DvDM,257155,Videos
21,REZZ - Falling (ft. Underoath),https://www.youtube.com/watch?v=9mb9-9k0XR4,808310,Videos
22,REZZ - EDC Las Vegas 2019 (Full Live Set),https://www.youtube.com/watch?v=2USHWOxfr8k,234937,Videos
23,REZZ - Dark Age,https://www.youtube.com/watch?v=hQrdXKCWyp0,908971,Videos
24,REZZ x BLANKE -  Mixed Signals (Visualizer),https://www.youtube.com/watch?v=noHwZbbd9bI,128588,Videos
25,REZZ x BLANKE - Mixed Signals,https://www.youtube.com/watch?v=-fb7VEKxWek,120443,Videos
26,Porter Robinson - Divinity (REZZ Remix),https://www.youtube.com/watch?v=Ok4-S_ftoIc,651698,Videos
27,REZZ - Live at Red Rocks Amphitheatre 2018,https://www.youtube.com/watch?v=8sLIhA2NcLc,661776,Videos
28,Nightmare on Rezz Street (Audio/Visual Mix),https://www.youtube.com/watch?v=sV5BjXgaFvI,801916,Videos
29,REZZ x 13 - The Crazy Ones,https://www.youtube.com/watch?v=DcdqnsPKFcg,303349,Videos
30,REZZ x Deathpact - Life & Death,https://www.youtube.com/watch?v=0CgyrOsEYjg,473788,Videos
31,REZZ x Fytch - Toxin,https://www.youtube.com/watch?v=l1ADcw3nrAA,153247,Videos
32,REZZ x Kotek - Teleportal,https://www.youtube.com/watch?v=5A4MOerCUi8,155141,Videos
